tab	specimens
specimen	experiments	sample	dir_alpha95	dir_bfv_dec	dir_bfv_inc	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	location	site
16tr007b	16tr007b:LP-DIR-T	16tr007b				HT	354.5	77.2	1	8	100	0.0	4.8				941	918	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	1e-05		16tr007
16tr007c	16tr007c:LP-DIR-T	16tr007c				HT	198.5	51.6	1	6	0	0.0	1.4				942	923	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	1e-05		16tr007
16tr007c	16tr007c:LP-DIR-T	16tr007c				HT	77.7	80.5	1	6	100	0.0	1.4				942	923	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	1e-05		16tr007
16tr007d	16tr007d:LP-DIR-T	16tr007d				HT	211.0	56.6	1	6	0	0.0	4.3				942	923	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	1e-05		16tr007
16tr007d	16tr007d:LP-DIR-T	16tr007d				HT	26.8	79.1	1	6	100	0.0	4.3				942	923	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	1e-05		16tr007
16tr007e	16tr007e:LP-DIR-T	16tr007e				HT	291.9	71.2	1	7	0	0.0	0.7				950	932	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	1e-05		16tr007
16tr007e	16tr007e:LP-DIR-T	16tr007e				HT	3.0	45.1	1	7	100	0.0	0.7				950	932	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	1e-05		16tr007
16tr007f	16tr007f:LP-DIR-T	16tr007f				HT	247.1	76.3	1	12	0	0.0	4.3				953	918	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	1e-05		16tr007
16tr007f	16tr007f:LP-DIR-T	16tr007f				HT	15.2	55.8	1	12	100	0.0	4.3				953	918	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	1e-05		16tr007
16tr007g	16tr007g:LP-DIR-T	16tr007g				HT	159.5	78.1	1	5	0	0.0	2.4				936	913	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	1e-05		16tr007
